id,created_at,name,canonical
77,2024-07-10 19:09:22.931624+00:00,SNCLAVALIN PROFAC PROJECT MANAGEMENT UNIT,1
78,2024-07-10 19:10:20.830099+00:00,ATKINSREALIS,1
79,2024-07-10 19:10:20.830099+00:00,ATKINS REALIS CANADA,1
80,2024-07-10 19:10:20.830099+00:00,ATKINSREALIS CANADA,1
81,2024-07-10 19:10:20.830099+00:00,ATKINSREALIS MAJOR PROJECTS,1
83,2024-07-10 19:40:21.276395+00:00,BOMBARDIER,3
84,2024-07-10 19:40:21.276395+00:00,BOMBARDIER MAT,3
85,2024-07-10 19:40:21.276395+00:00,BOMBARDIER CSC,3
86,2024-07-10 19:40:21.276395+00:00,BOMBARDIER MOTOR,3
87,2024-07-10 19:40:21.276395+00:00,BAOMBARDIER,3
90,2024-07-10 20:09:40.666130+00:00,PLEIAD CANADA,4
91,2024-07-11 14:40:29.462268+00:00,PLEIAD CA,4
92,2024-07-11 14:40:29.462268+00:00,PLEIAD CANDA,4
93,2024-07-11 15:45:19.253690+00:00,NORTHERN MICRO,5
94,2024-07-11 15:45:19.253690+00:00,NORTHERN MICRO NC,5
95,2024-07-11 15:45:19.253690+00:00,NORTHER MICRO,5
96,2024-07-11 15:45:19.253690+00:00,SSC NORTHERN MICRO,5
97,2024-07-11 15:45:19.253690+00:00,NORTHERM MICRO,5
98,2024-07-11 16:09:34.052897+00:00,MCKESSON CANADA,6
99,2024-07-11 16:09:34.052897+00:00,MCKESSON CANADA MCKESSON CANADA,6
100,2024-07-11 16:09:34.052897+00:00,MCKESSAN CANADA,6
101,2024-07-11 16:09:34.052897+00:00,MCKESSEN CANADA,6
102,2024-07-11 16:09:34.052897+00:00,MCKESSON CA,6
103,2024-07-11 16:09:34.052897+00:00,MCKESSON,6
6931,2024-08-30 00:48:21.390272+00:00,TKI CONSTRUCTION,765
105,2024-07-11 17:33:51.120943+00:00,BAYER,7
106,2024-07-11 18:01:28.530425+00:00,JOHNSON JOHNSON,9
107,2024-07-11 18:01:28.530425+00:00,JOHNSON JOHNSON CANADA,9
108,2024-07-11 18:01:28.530425+00:00,JOHNSON JOHNSON PRODUCTS DIV JOHNSON JOHNSON,9
109,2024-07-11 19:12:38.398568+00:00,APOTEX,10
110,2024-07-11 19:12:38.398568+00:00,APOBIOLOGIX A DIVISION APOTEX,10
111,2024-07-11 19:26:28.045481+00:00,HOFFMAN ROCHE,11
112,2024-07-11 19:26:28.045481+00:00,HOFFMANN ROCHE,11
113,2024-07-11 19:26:28.045481+00:00,HOFFMANN ROCHE HOFFMANN ROCHE,11
114,2024-07-11 19:26:28.045481+00:00,ROCHE DIAGNOSTICS,11
115,2024-07-11 19:26:28.045481+00:00,ROCHE DIAGNOSITCS,11
116,2024-07-11 19:26:28.045481+00:00,ROCHE DIAGNOSTICE,11
117,2024-07-11 20:18:29.484120+00:00,DELL,12
118,2024-07-11 20:18:29.484120+00:00,DELL CA,12
119,2024-07-11 20:18:29.484120+00:00,DELL EMC,12
120,2024-07-11 20:18:29.484120+00:00,DELL CANADA,12
121,2024-07-11 20:18:29.484120+00:00,DELL LCANADA,12
122,2024-07-11 20:18:29.484120+00:00,DELL COMPUTER,12
123,2024-07-11 20:18:29.484120+00:00,DELL COMPUTERS,12
124,2024-07-11 20:18:29.484120+00:00,DELLCANADA,12
125,2024-07-11 20:18:29.484120+00:00,DELL EMC CANADA,12
126,2024-07-11 20:18:29.484120+00:00,DELL COMPUTER K,12
127,2024-07-11 20:18:29.484120+00:00,DELL TECHNOLOGIES,12
128,2024-07-11 20:18:29.484120+00:00,DELL COMPUTER CANADA,12
129,2024-07-11 20:18:29.484120+00:00,DELL SOFTWARE CANADA,12
130,2024-07-11 20:18:29.484120+00:00,DELL SOUTHERN EUROPE,12
131,2024-07-11 20:18:29.484120+00:00,DELL CANADA MONTREAL,12
135,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONAIRES,13
136,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COF COMMISSIONAIRES,13
137,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS O COMMISSIONAIRES,13
138,2024-07-12 14:10:04.825851+00:00,CANADADIAN CORPS COMMISSIONAIRES,13
139,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONAIRES CORPS CANADIEN COMMISSIONAIRES,13
140,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONNAIRES,13
141,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMISSIONAIRES,13
142,2024-07-12 14:10:04.825851+00:00,CANADIA CORPS COMMISSIONAIRES,13
143,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONAIRE,13
144,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISIONAIRES,13
145,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS OPF COMMISSIONAIRES,13
146,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONAIR,13
147,2024-07-12 14:10:04.825851+00:00,CANADIAN COMMISSIONAIRES,13
148,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONAIARES,13
149,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIOINAIRES,13
150,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMISSIONMAIRES,13
151,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPOS COMMISSIONAIRES,13
152,2024-07-12 14:10:04.825851+00:00,CANDIAN CORPS COMMISSIONAIRES,13
153,2024-07-12 14:10:04.825851+00:00,CANADIAN CORPS COMMSSIONAIRES,13
